,energy_consumption,heating_impact_intensity,embodied_impact,living_area_cap
"Climate change, long term",19.25663160010629,55.10164405403534,0.17844668504812383,25.463277660810245
"Climate change, short term",18.705965804910058,56.11971307800761,0.15357078792812523,25.020750329154218
Fossil and nuclear energy use,19.06789205615278,59.63610271784234,0.04296519165096838,21.2530400343539
Freshwater acidification,6.995137588315742,10.331590412760075,7.083201561356763,75.59007043756742
Freshwater ecotoxicity,8.183798117129463,8.028231886155691,6.592369013058103,77.19560098365675
Freshwater eutrophication,20.44947850504783,13.476799526402703,2.589253064798094,63.48446890375138
Human toxicity cancer,4.283699161951655,11.236400513112041,8.347135766965279,76.13276455797103
Human toxicity non-cancer,1.4749330539105587,4.629528947446305,11.506645221453974,82.38889277718914
Ionizing radiations,13.539927957510303,63.33126899451506,0.04450021007318743,23.084302837901454
"Land occupation, biodiversity",7.02689180109185,73.9433115198153,0.2750306478412198,18.75476603125163
"Land transformation, biodiversity",6.400606524371375,86.87902786801243,0.03186262847496202,6.688502979141229
Marine eutrophication,23.85912239331557,11.525009206675833,2.0370499608313293,62.57881843917726
Mineral resources use,0.1783002570197569,1.4022103113405748,14.55654787443486,83.8629415572048
Ozone layer depletion,-0.16063418021802908,86.84023199357314,0.010598996284078349,13.309803190360805
Particulate matter formation,15.833394446880286,36.70628734532577,1.5672986687412487,45.8930195390527
Photochemical ozone formation,23.20000551709769,16.310064762504084,1.8433251412606988,58.64660457913753
Terrestrial acidification,7.777308176196958,9.977053675980962,6.74973491982981,75.49590322799227
Water scarcity,13.271020900146887,11.045590199738815,4.264372549834492,71.4190163502798
